"","X","Comment","label"
"1",0,"قیمت پوشک رو زدین با تخفیف ولی تو محاسبه بدون تخفیف محاسبه شده","Packaging"
"2",1,"گل کلم‌ها افتضاح کاملا پر از لک‌های سیاه و غیرقابل استفاده. حتی یه جای سالم نداشت.
کدوهای سبز هم لوسیده و نرم شده بود از کُهنگی
ایکاش حداقل انصاف رو رعایت می کردند و یه دونه‌ش رو سالم میذاشتند","Product"
"3",2,"به جز پرتغال همه چیز خوب بود.","Product"
"4",3,"از 6 عدد تخم مرغ داخل هر بسته 2 عدد شكسته بودن","Packaging"
"5",4,"سلام وقتتون بخیر
نارنگی با قیمت ۱۹۹۰۰ خریداری شده ولی قیمت روی نارنگیه ارسال شده ۱۴۹۰۰ تومان ثبت شده است","Product"
"6",5,"با این که گرون تر از قیمت واقعی خرید کردم ولی اصلا خوب نبود در ضمن با من کیلویی ۱۹۹۰۰تومن حساب کرده شده ولی برچسب وزن روی پلاستیک نارنگی زده کیلویی ۱۴۹۰۰ این یعنی چی خیلی متاسفم از اعتماد مردم سو استفاده میکنند","Product"
"7",6,"کالای هندوانه رو که حذف کردید
تخفیف هم که ندارید
یکی از دوغ ها ضربه خورده و درش باز شده
پیازها به جای ۸عدد متوسط ، ۶ تا پیاز درشششششت بود که برام کاربرد نداشت اونم با قیمت ۴۳ تومن","Product"
"8",7,"ضمن تشکر و قدردانی از مدیریت محترم هایپراستار و اسنپ؛ از بین کالاهایی که تحویل گرفتم در ظرف ماست پاره شده بود و آب ماست داخل نایلون ریخته بود.","Packaging"
"9",8,"كالاهاي انتخاب شده اصلا ارسال نشده اند از كل فاكتور فقط آب آشاميدني و شير تحويل داده شده","Packaging"
"10",9,"بوی نامطبوع مرغ واقعا ازاردهنده بود","Product"
"11",10,"با اینکه سر محصولات چسب زده بودید باز هم نرم کننده لباس و یکی از مایع لباسشویی ریخته بود داخل نایلون","Packaging"
"12",11,"۴ تا از تخم مرغ ها شکسته بود لطفا همبرگر پنینا کاله و فلافل ب آ را موجود و در تخفیف قرار دهید سپاس","Packaging"
"13",12,"امروز ۱۱ دی هست ماستی که سفارش دادم تاریخ انقضاش ۱۲ دی هست برام آوردن،متاسفم واسه شما دزدا","Product"
"14",13,"چرا سفارش را نصفه و نیمه می آورید ومرغ را کنسل کردید!!!؟","Product"
"15",14,"مامور ارسال نمیخواست سفارش رو دم منزل بیاره. اول تماس گرفت که شما بیایید و بعد دید نمیشه نهایتش سفارش رو گذاشت تو آسانسور. این برای اولین بار بود از اسنپ مارکت!!! حتما بهش تذکر بدین","Product"
"16",15,"من بقیه کالاهارو چک نکردم
اما به عنوان مثال برای شکلات تلخ نه تنها تخفیفی ارائه نشده بود بلکه قیمت بیشتر از قیمت روی جلد بود
احتمالا برای بقیه اجناس هم نهایتا با تخفیف به همون قیمت روی جلد برسیم و تخفیفی درکار نباشه
البته نکته جالبی هم داشت : اینکه یخ همراه سفارش فرستاده بودند که گرم نشود نوشیدنی ها","Product"
"17",16,"نارنگی ها خیلی ریز و بی کیفیت بودن.لطفا درجه بندی کیفیت در دسته میوه ها اضافه بشه تا خریدار میوه خیلی ریز و درجه دو رو دریافت نکنه","Product"
"18",17,"دو رنگه انگار نصفش گوشت مرغه","Product"
"19",18,"قیمت رب گوجه مجید توی سایت ۳۳ و خورده ای بود ولی در فاکتور قیمت روش که ۳۹۹۰۰ بود لحاظ شده بود","Product"
"20",19,"در خواست مرجوعی پرتقال و کاهو رو دارم، ۵ تا پرتقال شده دو کیلو، یکیش رو برش زدم بی آب هستند. برگ های کاهو قهوه ای شده.","Product"
"21",20,"قیمت های دروغین روی اجناس در اپلیکیشن","Product"
"22",21,"با سلام
همه چیز خوب بود ولی دو تا از تخم مرغ ها شکسته بودند. عکسش را ارسال می کنم.
لطفا تخم مرغ پر طلایی را مجددا موجود کنید. تخم مرغ بسیار با کیفیتی هست ولی مدتیه که موجود نیست.
ممنون
خسته نباشید","Packaging"
"23",22,"همیشه آب از داخل کیسه یخ ، به بیرون نشت کرده و باعث خیس شدن اقلام میشه.","Product"
"24",23,"شكستگي کامل تخم مرغ ،سر ظرف خامه پاره بوده","Packaging"
"25",24,"گوشت به حدی قرمز هست انگار رب گوجه فرنگی بسته بندی کردی.وقتی میبینن طرف آنلاین سفارش داده هرچی دم دستشون میاد چرخ میکنن میفرستن.معلوم نیست گوشت هست یا سنگدون مرغ!","Product"
"26",25,"اکثر بیسکوییتها در بسته خورد شده بود.","Packaging"
"27",26,"شکسته داشتن تخم مرغ","Packaging"
"28",27,"کیفیت تمام خرما ها نامطلوب و درب بک بسته شکسته بود","Packaging"
"29",28,"از ۶ تا تخم مرغ ۵ تا کاملا شکسته بود و غیر قابل استفاده بود","Packaging"
"30",29,"من دستمال توالت ۱۲ رول با تخفیف ۲۵ درصد سفارش دادم دو ساعت بعد سفارش پشتیبان زنگ زد که تمام شده ۸ رول هست بذارم گفتم بله. و اصلا اصلا روی ۸ رول تخفیف نداشت من اگه میخواستم با قیمت مصرف کننده بخرم که از سوپر محل خرید میکردم نه هایپر استار این کارتون اصلا درست نبود وظیفه پشتیبان هست اطلاع بده جایگزین ۸ رول قیمت مصرف کننده هست","Price"
"31",30,"نان ها در بسته بنده تحت فشار قرار گرفته بود شبیه شرایطی که بسته نان زمین افتاده و با پا از روی آن رد شده باشند?","Packaging"
"32",31,"با سلام
وزن ثبت شده بلال ۹۵۰ گرم اما وزن واقعی ارسال شده ۵۰۰ گرم بوده است. 
مشما آن هم پاره بود این که سهوا پاره شده و در مسیر ریخته یا عمدا دزدی شده
قطعا اسم بلال برداشتن دزدی نیست ولی این که مشتری ضرر را بدهد انصاف نیست","Packaging"
"33",32,"شکستگی تخم مرغ","Packaging"
"34",33,"هدیه فایرو پاور هم توی بسته نداشت","Packaging"
"35",34,"سلام خسته نباشید لطفا پیک اتان راتوجیه کنید.با توجه به اینکه در آیفون به ایشان گفتم دربمنزل تحو یل دهددر آسانسور گذاشته بود که ما بعدا متوجه شدیم ومن با وجود مریصی مجبور شدم خودم آن را حمل کنم ضمنا اگر قیمت‌ها را کمی مناسب‌تر کنید ممنون میشوم از کیفیت کالا ها هم تقریبا راضی هستم","Product"
"36",35,"ریحان ها کاملا خراب بود و دور ریختم","Packaging"
"37",36,"از پنج پنیر خریداری شده ۲ پنیر فاقد تاریخ تولید و انقضا و قیمت می باشند","Product"
"38",37,"روغن و نوشیدنی گازدار یک عدد تحویل داده شده و مابقی آیتم هایی که تیک زدم اصلا تحویل داده نشده، به پیک محترمتون هم اعلام کردم که کدام یک نرسیده و روی فاکتور برای ایشون علامت زدم.","Product"
"39",38,"شیر سفارش داده بودم پاکت یکی از شیرها پاره شده بود شیر ریخته بود","Packaging"
"40",39,"به جای یخ خشک از یخ در کیسه زیپ استفاده شده بود باعث شده بود آب بیرون بیاید و اجناس خیس شده بودند. بهتر است از یخ خشک استفاده بشود. میتوانید از خریدارها بخواهید هر بار یخ های خشک قبلی را به پیک تحویل بدهند که هزینه هم کمتر بشود","Delivery"
"41",40,"سلام روزتون بخیر 
امروز پیک خرید من را آورد به آدرس و زنگ آیفون را زد و من در را باز کردم 
ولی معلوم نیست اجناس به کدام واحد و چه کسی تحویل دادن
از شما درخواست دارم پیک های بی سواد و بی تجربه را نفرستین 
خواهش میکنم شما مقدار خرید روزانه من را بررسی کنید و در انتخاب پیک دقت بیشتر انجام دهید","Product"
"42",41,"ساندویج ها تاریخ گدشته بود!!","Product"
"43",42,"سلام ۲ عدد خامه پاک بدون تاریخ. ۳ عدد شیر کم ۳عدد شیر پر چرب کاله ارسال شده یک هفته از تولیدشون گذشته","Product"
"44",43,"با اینکه من از هایپراستار زیاد خرید می کنم وبیشتر اوقات ازکیفیت اجناس و تحویل سفارشم راضی هستم ولی مدتیه کیفیت اجناس و زمانبندی درست برای ارسال وسرویس دهی مطلوب پایین اومده نارنگی ها کیفیت چندان مطلوبی نداشتندبرندنودلیت به جای برند لذیذ ارسال شد ونواربهداشتی خیلی بزرگ سفارش داده بودم که سایز بزرگش ارسال شدو...من از پرسنل هایپر سپاسگزارم ومی دونم که تمام سعیشون دراینه که مشتری راضی باشه باوجود قیمت‌های افسار گسیخته اجناس وقتی مشتری بیشتر سفارش میده باید امتیاز بیشتر،تخفیف بیشتر وسرویس دهی مطلوبتری نصیبش بشه نه بالعکس!
اگربه مشتری با وجود خریدوهزینه بیشتر، امتیاز کمتروکیفیت پایینتر و سرویس دهی نامطلوبتری ارائه بشه مطمئنا درخریدهای بعدیش تجدید نظر می کنه واین به ضرر فروشگاه وبعضا مشتریه.. باوجود زمانبندی ارسال ،مشتری بازهم دوست داره زودتر سفارششو تحویل بگیره نه دیرتر لطفا به این نکات توجه ودقت بیشتری بفرمایید.","Product"
"45",44,"من ماست با تخفیف انتخاب کردم با مبلغ پایین و وزن 2200،بعد جایگزین یک ماست با وزن 1500 با مبلغ 69000 تومن ارسال شده، تخم مرغی که من موقعی که تو سبد خریدم زدم 11%تخفیف خورده بود 84000 تومن شده بود ولی با مبلغ 94000 تومن ارسال شده، واقعا شما هم مثل دیجی کالا باید برید تو بلک لیست","Product"
"46",45,"سلام
پیازها خوب نبودند و مجبور شدم مقداری در سطل زباله بریزم، موزها مثل همیشه نبود، همه نارنگی ها هم سالم نبودند. معمولا جعبه دستمال کاغذی آسیب می بیند، در خرید دفعه قبل حلوا ارده بیسفود خریده بودم ک محصول کیفیت خوبی ندارد و انگار در دمای نامناسب بوده چون بافت آن بهم خورده. 
فایرپاور ک نوشته شده به عنوان هدیه، ارسال نشد.","Product"
"47",46,"ارسال عکس تماس با شماره ۰۹۱۷۷۰۶۴۴۶۰
تعداد ۶عدد از تخم مرغها کثیف و ترک دار هستند","Product"
"48",47,"تصویر ننوشته بود نوار بهداشتی مشبک می باشد. اصلا راضی نیستم و باید بندازمش دور","Product"
"49",48,"لطفا محصولی که در سایت موجوده ارسال بشه وقبل از ارسال از سالم بون وتاریخ تولید وانقضای محصول اطمینان حاصل شود با تشکر از خدمات اسنپ مارکت","Product"
"50",49,"در اپلیکیشن رب گوجه مهرام و پفک یازده درصد تخفیف داشتن. رب گوجه موقع انتخاب ۳۶هزارتومن هست بعد در فاکتور ۴۱۵۰۰ درج شده و همچنین پفک. اختلاف قیمت موقع انتخاب و فاکتور صادر شده کاملا مشخص هست","Price"
"51",50,"در تونر شکسته بود و ازش ریخته میشه","Packaging"
"52",51,"تخم مرغهای شکسته ارسال شده بود یا تو مسیر حین حمل شکسته بود","Packaging"
"53",52,"سلام 
این محصول بصورت عمده خریداری شده بود که دو بسته ۳ عددی بود و قیمت هر بسته ۶۴ تومآن قید شده بود. در صورتی که در نهایت بصورت جزیی ارسال شده و قیمت بیشتری لحاظ شده است. لطفا پیگیری فرمایید","Price"
"54",53,"خریداری کردم ولی نفرستادید!!","Product"
"55",54,"وزن تخمه بجای ۲۵۰گرم، ۲۰۰ گرم بود","Product"
"56",55,"ساق بوقلمون فاسد بود بوی گند میداد","Product"
"57",56,"توي سفارش ٩٠٠ گرم ثبت شده ولي ٨٠٠ گرم تحويل دادن","Product"
"58",57,"متاسفانه این بار دومی هست که ماهی خریداری شده از هایپر قابل استفاده نیست","Product"
"59",58,"اغلب تخم مرغ هايي كه دستم رسيد شكسته و ترك خورده بود و شير بطري هم درش شل شده بو يا در اثر فشار بقيه وسايل كه روي شير قرار دادند بيشتر شير داخل نايلون ريخته بود اين سومين باره كه شيري كه سفارش ميدم داخل نايلون ميريزه","Packaging"
"60",59,"برخورد پیک بسیار بسیار بسیاااااار بد بود
حتی از اینکه آدرس توی اپلیکیشن دست من نیست قسمتیش اطلاعی نداشت و عملا داشت باهام کل کل میکرد و به آدرس غر میزد . از طرفی سفارشی که توش تخم مرغ داشت رو قبل از رسیدن من دم در روی زمین رها کرده بود","Product"
"61",60,"نارگیل فاسد ارسال شده بود 
محتویاتش به شدت بو میداد 
کاهو ها تازه نبودند","Packaging"
"62",66," بیسکوییت خورد شده","Packaging"
"63",67,"آستون ریخته روی مواد خوراکی/باهم پک شده بودن","Packaging"
"64",70,"مایع ظرفشویی ریخته","Packaging"
"65",79," پیک داخل اسانسور هم نذاشته","Product"
"66",80,"بیسکوییت خورد بوده","Product"
"67",81,"خیار بی کیفیت","Product"
"68",82,"لیمو بی کیفیت","Product"
"69",88,"خامه ترکیده بود/شامپو ریخته","Packaging"
"70",91,"مرغ بو میداده","Product"
"71",93,"مایع جرم گیر به دلیل بسته بندی بد یاحمل نامناسب پیک داخل بسته بندی ریخته شده بود سس تندمهرام ازتاریخ انقضاء فقط یک هفته باقی مانده است شیشه کشک شکسته است","Packaging"
"72",94,"متاسفانه تاریخ انقضای ماستی که ارسال شده بسیار نزدیک است و من نمی‌تونم حدود ۲ کیلو ماست رو در ۶ روز مصرف کنم :(((
(از تاریخ تولید محصول ۱۶-۱۷ روز گذشته!)

سیب زمینی‌ها هم بسیار گِلی و درشت بود","Product"
"73",95,"باسلام
از شش ماه تاریخ نوشابه ها فقط یکماه مانده است. چرا؟؟؟!!!
لطفا پیگیری نمایید.","Product"
"74",96,"یخهای داخل کیسه به علت حمل بد باز شده بود و همه اقلام داخل خیس شده بود. 
در ماست باز شده بود .","Packaging"
"75",97,"یک بسته تخم مرغ کاملا شکسته بود لطفا مرجوع کنید","Packaging"
"76",98,"از ۱۲ تخم مرغ خریداری شده فقط ۵ تا سالم رسیده","Product"
"77",99,"۶ عدد از تخم مرغ ها شکسته ارسال شده","Packaging"
"78",100,"لطفا زمانیکه کالاها قرار است زودتر از بازه زمانی تعیین شده ارسال شوند قبل از ارسال حتما با خریدار بصورتدتلفنی هماهنگ شود که منزل باشند.
ضمنا به همکاران تحویل دهنده یا بدهید اطلاعات روی فاکتور را بخوانند که در جریان ساعت و تاریخ تحویل باشند و اظهار بی اطلاعی نکنند. رفتارشان درست نبوده.","Product"
"79",101,"متاسفانه مایع ظرفشوی در کیسه ریخته شده بود و ضمنا"" برای سومین بار طی دو روز خرید تخم مرغ بدلیل عدم موجودی کنسل شده","Packaging"
"80",102,"۵ تا از تخم مرغها شکسته بودند و به جای شکلات تلخ شکلات شیری که قیمت کمتری هم داره ارسال شده بود! واقعا من نمیدونم این همه بی دقتی چطور امکان داره!
پیک هم چون آدرس رو پیدا نمیکرده با من بد رفتاری کرد!","Packaging"
"81",103,"ترشی ها اصلا خوب نبود باقیمانده ضایعات سبزبجات توش مشخص بود متاسفانه","Product"
"82",104,"پیک نفهم پرت کرده باکس اب گاز دار هارو و کل راه پله شد اب گاز دار پیک هاتون عجله دارن کار ندید بهشون اینطوری مثل حیوان برخورد نکنن","Product"
"83",105,"من مرغ را ۱/۴۰۰ سفارش دادم ولی برای من مرغ ۱/۲۰۰ ارسال شده است","Product"
"84",106,"من هر دفعه که سفارش دارم یه چیزی مشکل داره.من بادام هندی خام خواستم و با اینکه روی بسته ای که دستم رسیده زده شده خام ولی بوداده است.من نمک نمیتونم مصرف کنم و کلی پول این محصولو دادم.میخوام عوض کنم .چیکار باید بکنم؟","Product"
"85",107,"مایع نرم کننده سافتلن طلایی باز شده و مقداری داخل بسته ریخته است.","Packaging"
"86",109,"سلام و خسته نباشید. بهتر از میوه های. بروز و تازه استفاده شود برای ارسال با تشکر","Product"
"87",111,"متاسفانه تاریخ تولید میگو دقیقا ۱سال پیش است و فقط ۱۰روز تا تاریخ انقضای آن باقی مانده. قیمت محصول هم روی بسته بندی ۲۱۱ تومان ذکر شده که هایپراستار قیمت را ۲۶۸ تومان زده بود و با تخفیف ۲۱۵ تومان حساب کرد! واقعا تعجب میکنم از این کار و به شدت ناراضی هستم از این خرید. کالای ۱سال مانده در فروشگاه که کیفیت کالای تازه را ندارد، را به قیمت بالاتر از قیمت روی بسته بندی به بنده فروخته اند.","Price"
"88",112,"سلام قیمت این سوخاری رو زدین 128000هزار تومن بعد مثلا 30درصد تخفیف دادین وقیمت روی محصول رو میفروشین؟ واقعا جای تاسف و خجالته مردم رو چی فرض کردین؟","Product"
"89",113,"سلام وقت بخیر، تاریخ بسته بندی خیار ۴ روز پیش یعنی هشتم دی ماهه و خیار تازه نیست درخواست مرجوعی دارم","Product"
