X,Comment,label
0,قیمت پوشک رو زدین با تخفیف ولی تو محاسبه بدون تخفیف محاسبه شده,2
1,"گل کلم‌ها افتضاح کاملا پر از لک‌های سیاه و غیرقابل استفاده. حتی یه جای سالم نداشت.
کدوهای سبز هم لوسیده و نرم شده بود از کُهنگی
ایکاش حداقل انصاف رو رعایت می کردند و یه دونه‌ش رو سالم میذاشتند",1
2,به جز پرتغال همه چیز خوب بود.,1
3,از 6 عدد تخم مرغ داخل هر بسته 2 عدد شكسته بودن,2
4,"سلام وقتتون بخیر
نارنگی با قیمت ۱۹۹۰۰ خریداری شده ولی قیمت روی نارنگیه ارسال شده ۱۴۹۰۰ تومان ثبت شده است",1
5,با این که گرون تر از قیمت واقعی خرید کردم ولی اصلا خوب نبود در ضمن با من کیلویی ۱۹۹۰۰تومن حساب کرده شده ولی برچسب وزن روی پلاستیک نارنگی زده کیلویی ۱۴۹۰۰ این یعنی چی خیلی متاسفم از اعتماد مردم سو استفاده میکنند,1
6,"کالای هندوانه رو که حذف کردید
تخفیف هم که ندارید
یکی از دوغ ها ضربه خورده و درش باز شده
پیازها به جای ۸عدد متوسط ، ۶ تا پیاز درشششششت بود که برام کاربرد نداشت اونم با قیمت ۴۳ تومن",1
7,ضمن تشکر و قدردانی از مدیریت محترم هایپراستار و اسنپ؛ از بین کالاهایی که تحویل گرفتم در ظرف ماست پاره شده بود و آب ماست داخل نایلون ریخته بود.,2
8,كالاهاي انتخاب شده اصلا ارسال نشده اند از كل فاكتور فقط آب آشاميدني و شير تحويل داده شده,2
9,بوی نامطبوع مرغ واقعا ازاردهنده بود,1
10,با اینکه سر محصولات چسب زده بودید باز هم نرم کننده لباس و یکی از مایع لباسشویی ریخته بود داخل نایلون,2
11,۴ تا از تخم مرغ ها شکسته بود لطفا همبرگر پنینا کاله و فلافل ب آ را موجود و در تخفیف قرار دهید سپاس,2
12,امروز ۱۱ دی هست ماستی که سفارش دادم تاریخ انقضاش ۱۲ دی هست برام آوردن،متاسفم واسه شما دزدا,1
13,چرا سفارش را نصفه و نیمه می آورید ومرغ را کنسل کردید!!!؟,1
14,مامور ارسال نمیخواست سفارش رو دم منزل بیاره. اول تماس گرفت که شما بیایید و بعد دید نمیشه نهایتش سفارش رو گذاشت تو آسانسور. این برای اولین بار بود از اسنپ مارکت!!! حتما بهش تذکر بدین,1
15,"من بقیه کالاهارو چک نکردم
اما به عنوان مثال برای شکلات تلخ نه تنها تخفیفی ارائه نشده بود بلکه قیمت بیشتر از قیمت روی جلد بود
احتمالا برای بقیه اجناس هم نهایتا با تخفیف به همون قیمت روی جلد برسیم و تخفیفی درکار نباشه
البته نکته جالبی هم داشت : اینکه یخ همراه سفارش فرستاده بودند که گرم نشود نوشیدنی ها",1
16,نارنگی ها خیلی ریز و بی کیفیت بودن.لطفا درجه بندی کیفیت در دسته میوه ها اضافه بشه تا خریدار میوه خیلی ریز و درجه دو رو دریافت نکنه,1
17,دو رنگه انگار نصفش گوشت مرغه,1
