"X","Comment","label"
1229,"۳تا از دلسترها با طعم هلو اومده برای عوض کردنش چیکار باید کرد",1
859,"با اینکه بعلت دیرکرد پیک با اپراتور صحبت کرده بودم و چون خودم حضور نداشتم قرار بر این شد که کالاهارو درب واحد به همسرم تحویل بدن اما بازهم کالاهارو داخل اسانسور گذاشتن 
بجای پک ۸ عددی باطری نیم قلمی پک قلمی و نیم قلمی ارسال شد، (احتمالا مشکل یا در درج اسم کالا داخل اپلیکیشنه که بصورت کامل نوشته نشده و یا کم دقتی خودم در انتخاب کالا)
تعداد بسته های شکر کم بود و یکی از بسته های شکر پاره شده بود و از همه بدتر تمام کالا ها شدیدا بوی دوده ی ماشین میداد",3
291,"موز کیلو ۶۰و... موز کوچک کیلو ۳۰ ارسال شده گوجه ارسال نشده گوجه چری ده تا دونه انار خشکیده یا ماموراتون مورد اعتماد نیستند یا وجدان کاری ندارید اعتماد می‌شود نزدیک ۷۰۰ خرید شده آشغال ارسال شده",1
8,"كالاهاي انتخاب شده اصلا ارسال نشده اند از كل فاكتور فقط آب آشاميدني و شير تحويل داده شده",1
599,"قند و شکر و نمک وایتکسی بود و غیر قابل استفاده بود .",1
2419,"نرم کننده لباس رو با مواد خوراکی یکجابسته بندی کردید که نرم کننده ریخته بود روی مواد خوراکی و بو گرفته بود و حلوا شکری که کلا دور ریخته شد . کلا مواد غیره خوراکی رو با خوراکی یکجا بسته بندی نمی کنن .",2
1252,"کشک مایع سمیه سفارش دادم کشک خشک تنقلاتی فرستادین",1
2276,"سلام یکی از بسته های برنج پاره شده بود و مقداری از آن ریخته بود. تقاضای رسیدگی دارم.",2
1000,"سلام
من ۴ بسته ۴ تایی شیر گرفتم که متاسفانه ٢ بسته از ۴ بسته بسیار بد از زیر جعبه ها لِه شده بودن ، مجبور شدم همه رو توی ظرف خالی کنم بجوشونم
چرا بسته‌های خراب و لِه شده رو ارسال میکنید !",1
412,"درب حلوا ارده کاملاً شکسته و آسیب دیده بود محصول هم کیفیت مطلوب را نداشت. اصلا راضی نبودم عکس کالا را در بخش پشتیبانی ارسال میکنم.",2
963,"یکی از تخم مرغها شکسته بود",2
1921,"متاسفانه پودر کافی میت باز شده بود و ریخته بود رو وسایل و یه مقداریش دور ریز شد",2
